Isopod,Isopod_size,Isopod_sex,Infection,Intensity,Cystacanth,Worm_Sex,Worm_Sex2,worm_length,worm_width,volume_cylinder,worm_weight_mg
NI5                     ,9.5,F       ,1,1,1,F       ,0,9.4,0.44,1.407724979,0.3724
NI13                    ,10,M       ,1,1,1,F       ,0,9.52,0.41,1.277402291,0.3754
NI49                    ,10,M       ,1,1,1,F       ,0,9.29,0.43,1.349094919,0.322
NU43                    ,11,M       ,1,1,1,F       ,0,9.62,0.42,1.311724016,0.3217
NU44                    ,10,M       ,1,1,1,F       ,0,9.34,0.42,1.314624404,0.2977
1,9,M       ,1,1,1,F       ,0,7.63,0.48,1.361582575,0.1554
26,6.5,M       ,1,1,1,F       ,0,8.69,0.37,0.95126867,0.1656
47,6,F       ,1,1,1,F       ,0,7.58,0.38,0.859659131,0.1788
50,5,M       ,1,1,1,F       ,0,7.47,0.38,0.862111929,0.0981
61,6.5,F       ,1,1,1,F       ,0,7.2,0.38,0.802299932,0.1374
67,5,F       ,1,1,1,F       ,0,6.49,0.36,0.660601537,0.1127
78,6,F       ,1,1,1,F       ,0,6.81,0.4,0.870092098,0.1059
97,6,M       ,1,1,1,F       ,0,5.75,0.35,0.542727584,0.0731
137,6,F       ,1,1,1,F       ,0,6.88,0.4,0.864566298,0.0924
166,7,F       ,1,1,1,F       ,0,6.14,0.42,0.850661609,0.1035
IR12                    ,6.5,M       ,1,1,1,F       ,0,7.29,0.34,0.64895958,0.1044
IR22                    ,5.5,M       ,1,1,1,F       ,0,7.22,0.34,0.65551844,0.1197
IR42                    ,8,M       ,1,1,1,F       ,0,7.82,0.39,0.934169854,0.184
IR46                    ,6,F       ,1,1,1,F       ,0,6.9,0.35,0.663857798,0.102
IR56                    ,7.5,F       ,1,1,1,F       ,0,7.4,0.38,0.824586041,0.1791
IR65                    ,5.5,F       ,1,1,1,F       ,0,7.1,0.34,0.644623397,0.1436
IR74                    ,5.5,F       ,1,1,1,F       ,0,5.77,0.32,0.454433559,0.035
IR83                    ,7,M       ,1,1,1,F       ,0,6.7,0.34,0.608306586,0.0838
IR84                    ,6,M       ,1,1,1,F       ,0,6.6,0.33,0.564497076,0.0508
IR90                    ,5,F       ,1,1,1,F       ,0,6.48,0.3,0.447921997,0.0454
MJ2                     ,9,M       ,1,1,1,F       ,0,9.62,0.41,1.290820382,0.322
MJ6                     ,8,M       ,1,1,1,F       ,0,7.7,0.42,1.066790617,0.2693
